Line of Business,Client,Project ,Manager/Director,Project Manager,Contract Type,Status,Budget,Assigned To,Review,Internal Completion Date ,Due Date (External),BQE Project #,Region,ISO/TSO/Utility,Technology,Project Source,Notes,Column1
Generation Interconnection,"Leon BESS, LLC",Leon BESS Task 5: ERCOT FIS Material & Models Update,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Hold (other reason),"10,000",Shiva Amini,Behzad Jandaghi,,1-Dec-26,202831,ERCOT,,bess,,he wants to revise to increase data center???,
Generation Interconnection,"Leon BESS, LLC",Leon BESS Task 6: ERCOT PSS/E Model Quality Test and Tuning,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Hold (other reason),"13,500",,Behzad Jandaghi,,1-Dec-26,202831,ERCOT,,bess,,,
Generation Interconnection,Lightsource bp,Fiddleleaf-2 - T2 SPP MODIFICATION REQUEST APPLICATION - FIDDLELEAF,Joelle Abi-Nahed,Lea El Khoury,Fixed,Can be Invoiced and Closed,"17,500",Perla Boulos,Lea El Khoury,5/4/2026,12-May-26,400477,Other,,Solar,,"solar - updating inverters, GSU, MPT and gen-tie",
Generation Interconnection,"Lightsource Renewable Energy Operations, LLC ",Jackalope Solar T6 - T6 Full Registration RARF & ERCOT Registration Support,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"17,000",,,,30-Mar-24,,ERCOT,,,,,
Generation Interconnection,"Lightsource Renewable Energy Operations, LLC ",Second Division Solar TASK 25: IFC PSCAD and PSSE Plant Model Preparation and Model Quality Tests,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"45,000",Behzad Jandaghi,Bikram Bhandari,,30-Dec-24,,ERCOT,,Solar,,,
Generation Interconnection,"Lightsource Renewable Energy Operations, LLC ",Jackalope Solar TASK 29: IFC PSCAD and PSSE Plant Model Preparation and Model Quality Tests,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"45,000",Bikram Bhandari,Sonjoy Roy/Joelle Abi Nahed,,1-Dec-24,,ERCOT,,,,moved to Antonio's team,
Generation Interconnection,"Lightsource Renewable Energy Operations, LLC ",Second Division BESS T1 - T1 ERCOT FIS Application Update,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"15,000",Anthony Saab,Bikram Bhandari,,18-Feb-25,,ERCOT,,BESS,,We are still awaiting some internal confirmation for the inverters. I will update you as soon as I get some.,
,,,,,,,,,,,,,,,,,follow up early january,
System Studies,"Lightsource Renewable Energy Operations, LLC ",Second Division BESS T10 - T10 Reactive Power Compensation Study,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"15,000",Anthony Saab,Bikram Bhandari,,18-Feb-25,,ERCOT,,BESS,,,
System Studies,"Lightsource Renewable Energy Operations, LLC ",Second Division BESS T11 - T11 Reactive Power Compensation Study – Solar + BESS,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"15,000",Anthony Saab,Bikram Bhandari,,18-Feb-25,,ERCOT,,BESS,,,
Generation Interconnection,"Lightsource Renewable Energy Operations, LLC ",Second Division BESS T12 - T12 Planning Model Data & QSA Requirements Support,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"9,500",Anthony Saab,Bikram Bhandari,,18-Feb-25,,ERCOT,,BESS,,,
Generation Interconnection,"Lightsource Renewable Energy Operations, LLC ",Second Division BESS T13 - T13 Full Registration Data & ERCOT Registration Support,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"15,000",Anthony Saab,Bikram Bhandari,,18-Feb-25,,ERCOT,,BESS,,,
Generation Interconnection,"Lightsource Renewable Energy Operations, LLC ",Second Division BESS T14 - T14 Interconnection Support & Meetings,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"10,000",,,,18-Feb-25,,ERCOT,,BESS,,,
Generation Interconnection,"Lightsource Renewable Energy Operations, LLC ",Second Division BESS T2 - T2 ERCOT PSSE Model Quality Test,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"10,000",Anthony Saab,Bikram Bhandari,,18-Feb-25,,ERCOT,,BESS,,,
Generation Interconnection,"Lightsource Renewable Energy Operations, LLC ",Second Division BESS T3 - T3 ERCOT Combined PSSE Model Quality Test AND VRT Tuning – Solar+BESS,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"10,000",Anthony Saab,Bikram Bhandari,,18-Feb-25,,ERCOT,,BESS,,,
Generation Interconnection,"Lightsource Renewable Energy Operations, LLC ",Second Division BESS T4 - T4 PSCAD™ Plant Model Development,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"10,000",Anthony Saab,Bikram Bhandari,,18-Feb-25,,ERCOT,,BESS,,,
Generation Interconnection,"Lightsource Renewable Energy Operations, LLC ",Second Division BESS T5 - T5 PSCAD™ Model Quality Test,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"13,000",Anthony Saab,Bikram Bhandari,,18-Feb-25,,ERCOT,,BESS,,,
Generation Interconnection,"Lightsource Renewable Energy Operations, LLC ",Second Division BESS T6 - T6 PSCAD™ Model Quality Test – Solar + BESS,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"13,000",Anthony Saab,Bikram Bhandari,,18-Feb-25,,ERCOT,,BESS,,,
Generation Interconnection,"Lightsource Renewable Energy Operations, LLC ","Second Division BESS T7 - T7 TSAT UDM Development, OPTIONAL",Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"9,500",Anthony Saab,Bikram Bhandari,,18-Feb-25,,ERCOT,,BESS,,,
Generation Interconnection,"Lightsource Renewable Energy Operations, LLC ","Second Division BESS T8 - T8 TSAT UDM Development – Solar + BESS, OPTIONAL",Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"9,500",Anthony Saab,Bikram Bhandari,,18-Feb-25,,ERCOT,,BESS,,,
Generation Interconnection,"Lightsource Renewable Energy Operations, LLC ",Second Division BESS T9 - T9 FIS Scoping Meeting & Assistance In Negotiation Of The FIS Scope,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"3,000",Anthony Saab,Bikram Bhandari,,18-Feb-25,,ERCOT,,BESS,,,
Generation Interconnection,"Lightsource Renewable Energy Operations, LLC ",Second Division Solar T22 - T22 Interconnection Support & Meetings,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"15,000",Bikram Bhandari,,,1-Dec-25,,ERCOT,,Solar,,,
Generation Interconnection,Limitless Energy Group,Long Creek Load TASK 2: LOAD INTERCONNECTION SUPPORT,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"10,000",Bikram Bhandari,Joelle Abi-Nahed,2/25/2025,28-Dec-26,400017,ERCOT,,load,,"32.374564 N, -99.322905 W",
,,,,,,,,,,,,,,,,, oncor territory,
Generation Interconnection,Limitless Energy Group,Long Creek Load TASK 3: PSS®E MODEL DEVELOPMENT,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"8,000",Bikram Bhandari,Joelle Abi-Nahed,2/25/2025,28-Feb-26,400017,ERCOT,,load,,,
Generation Interconnection,Limitless Energy Group,Long Creek Load TASK 4: DYNAMIC LOAD MODEL,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"13,000",Bikram Bhandari,Joelle Abi-Nahed,2/25/2025,28-Feb-25,400017,ERCOT,,load,,,
Generation Interconnection,Limitless Energy Group,West Shackelford Load TASK 2: LOAD INTERCONNECTION SUPPORT,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"10,000",Bikram Bhandari,Joelle Abi-Nahed,2/25/2025,28-Dec-26,400206,ERCOT,,load,,"32.63463843 N, -99.53429044 W",
,,,,,,,,,,,,,,,,,lonestar excel to fill out,
Generation Interconnection,Limitless Energy Group,West Shackelford Load TASK 3: PSS®E MODEL DEVELOPMENT,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"8,000",Bikram Bhandari,Joelle Abi-Nahed,2/25/2025,28-Feb-25,400206,ERCOT,,load,,,
Generation Interconnection,Limitless Energy Group,West Shackelford Load TASK 4: DYNAMIC LOAD MODEL,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"13,000",Bikram Bhandari,Joelle Abi-Nahed,2/25/2025,28-Feb-25,400206,ERCOT,,load,,"Lone star II  32.323040 N , -99.321914 W????",
Generation Interconnection,Limitless Energy Group,Riley7A Task 1: ERCOT Expedited SS&FIS Application ,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"18,000",Georgette Khanfour,Bikram Bhandari,10/27/2025,31-Oct-25,401477,ERCOT,,gas,,no load// riley POI so not same as load JJ: SOW in file everything OK on the OS - invoice in process,
,,,,,,,,,,,,,,,,,PUN load data??,
,,,,,,,,,,,,,,,,,aspen model?,
Generation Interconnection,Limitless Energy Group,Riley7A Task 2: ERCOT Model Quality Test and VRT Tuning,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"11,000",Georgette Khanfour,Bikram Bhandari,11/21/2025,30-Nov-25,401477 T2,ERCOT,,gas,,,
Generation Interconnection,Limitless Energy Group,Riley7A Task 3: Project Interconnection Support ,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"10,000",Georgette Khanfour,Bikram Bhandari,,1-Dec-26,401477,ERCOT,,gas,,use it for sec iNR,
Generation Interconnection,Limitless Energy Group,Riley7A Task 4-Aspen,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"5,000",Georgette Khanfour,Bikram Bhandari,4/27/2026,30-Apr-26,401477,ERCOT,,gas,,use it for sec iNR,
Generation Interconnection,Limitless Energy Group,Riley 7B Task 1: ERCOT Expedited SS&FIS Application ,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"10,000",Bikram Bhandari,Joelle Abi-Nahed,10/27/2025,31-Oct-25,402535,ERCOT,,gas,,,
Generation Interconnection,Limitless Energy Group,Riley 7B Task 2: ERCOT Model Quality Test and VRT Tuning ,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"11,000",Bikram Bhandari,Joelle Abi-Nahed,11/21/2025,30-Nov-25,402535,ERCOT,,gas,,JJ: Email sent 11/14 waiting for follow up regarding WO 11/18 TO signed and retrigged ,
Generation Interconnection,Limitless Energy Group,Riley 7B Task 3: Project Interconnection Support ,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"10,000",Bikram Bhandari,Joelle Abi-Nahed,,1-Dec-26,402535,ERCOT,,gas,,,
Generation Interconnection,Limitless Energy Group,Riley 7B Task 4: aspen,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"5,000",Georgette Khanfour,Bikram Bhandari,4/27/2026,30-Apr-26,402535,ERCOT,,gas,,,
Generation Interconnection,Limitless Energy Group,Riley 7B TASK 1: LOAD INTERCONNECTION SUPPORT ,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,In progress,"10,000",Bikram Bhandari,Joelle Abi-Nahed,,1-Dec-26,402540,ERCOT,,load,,,
Generation Interconnection,Limitless Energy Group,Riley 7B TASK 2: PSS®E MODEL DEVELOPMENT,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"8,000",Bikram Bhandari,Joelle Abi-Nahed,8/25/2025,29-Aug-25,402540,ERCOT,,load,,,
Generation Interconnection,Limitless Energy Group,Riley 7B TASK 3: DYNAMIC LOAD MODEL ,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"13,000",Bikram Bhandari,Joelle Abi-Nahed,8/25/2025,29-Aug-25,402540,ERCOT,,load,,,
Generation Interconnection,Limitless Energy Group,Riley 7B TASK 4: DYNAMIC LOAD MODEL Update,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced - leave open,"10,800",Georgette Khanfour,Bikram Bhandari,5/28/2026,28-May-26,402540,ERCOT,,load,,,
Generation Interconnection,Limitless Energy Group,Riley 7A TASK 1: LOAD INTERCONNECTION SUPPORT,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,In progress,"10,000",Bikram Bhandari,Joelle Abi-Nahed,,1-Dec-26,402539,ERCOT,,load,,,
Generation Interconnection,Limitless Energy Group,Riley 7A TASK 2: PSS®E MODEL DEVELOPMENT,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"8,000",Bikram Bhandari,Joelle Abi-Nahed,8/25/2025,29-Aug-25,402539,ERCOT,,load,,,
Generation Interconnection,Limitless Energy Group,Riley 7A TASK 3: DYNAMIC LOAD MODEL,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"13,000",Bikram Bhandari,Joelle Abi-Nahed,8/25/2025,29-Aug-25,402539,ERCOT,,load,,,
Generation Interconnection,Limitless Energy Group,Riley 7A TASK 4: DYNAMIC LOAD MODEL Update,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced - leave open,"10,800",Georgette Khanfour,Bikram Bhandari,5/28/2026,28-May-26,402539,ERCOT,,load,,,
TPGEN,Limitless Energy Group,Edith Clark station TASK 1: HIGH LEVEL TRANSMISSION IMPORT ANALYSIS – SUMMER PEAK,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"8,000",Georgette Khanfour,Bikram Bhandari,12/15/2025,17-Dec-25,403839,ERCOT,,load,Organic,,
TPGEN,Limitless Energy Group,Edith Clark station TASK 2: ERCOT TRANSMISSION ANALYSIS – SUMMER PEAK CONDITIONS,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"23,000",Georgette Khanfour,Bikram Bhandari,1/12/2026,30-Jan-26,403839,ERCOT,,load,Organic,,
Generation Interconnection,Limitless Energy Group,Edith Clark station TASK 3: GENERAL INTERCONNECTION SUPPORT - LOAD,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Hold (other reason),"10,000",Siddhesh Thorat,Behzad Jandaghi,,30-Dec-26,403839,ERCOT,,load,Organic,generation?,
Generation Interconnection,Limitless Energy Group,Edith Clark station TASK 4: PSS®E STEADY STATE & DYNAMIC MODEL - LOAD,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced - leave open,"21,000",Siddhesh Thorat,Behzad Jandaghi,2/20/2026,28-Feb-26,403839,ERCOT,,load,Organic,,
Generation Interconnection,Limitless Energy Group,Riley7A PUN Load TASK 1: GENERAL INTERCONNECTION SUPPORT -LOAD,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"10,000",Georgette Khanfour,Bikram Bhandari,,1-Dec-26,404708,,,,,,
Generation Interconnection,Limitless Energy Group,Riley7A PUN Load TASK 2: PSS®E STEADY STATE & DYNAMIC MODEL - LOAD,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced - leave open,"21,000",Georgette Khanfour,Bikram Bhandari,3/5/2026,27-Mar-26,404708,ERCOT,,load,,,
Generation Interconnection,Limitless Energy Group,Riley7B PUN Load TASK 1: GENERAL INTERCONNECTION SUPPORT -LOAD,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"10,000",Georgette Khanfour,Bikram Bhandari,,1-Dec-26,404719,,,,,,
Generation Interconnection,Limitless Energy Group,Riley7BPUN Load TASK 2: PSS®E STEADY STATE & DYNAMIC MODEL - LOAD,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced - leave open,"16,000",Georgette Khanfour,Bikram Bhandari,3/5/2026,27-Mar-26,404719,ERCOT,,load,,,
Generation Interconnection,Limitless Energy Group,Riley 2 GW load T1 - interconnection Support,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"10,000",,Bikram Bhandari,,1-Dec-26,404991,ERCOT,,Load,,,
Generation Interconnection,Limitless Energy Group,Riley 2 GW load T2-Load Model,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"16,000",,Bikram Bhandari,3/26/2026,27-Mar-26,404991,ERCOT,,Load,,,
Generation Interconnection,Limitless Operating Company LLC,West Shackelford T4 PSSE Model Update,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"5,600",Georgette Khanfour,Bikram Bhandari,7/16/2025,25-Jul-25,400206,ERCOT,,Load,,update to 1.5 GW,
Generation Interconnection,Limitless Operating Company LLC,West Shackelford TASK 5: DYNAMIC LOAD MODEL UPDATE,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"9,100",Georgette Khanfour,Bikram Bhandari,7/16/2025,25-Jul-25,400206,ERCOT,,Load,,,
Generation Interconnection,Linea Energy Development Co LLC ,BPA Wind T1 - T1 BPA INTERCONNECTION APPLICATION,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be invoiced and closed,"22,000",,,,1-Apr-24,,WECC,,wind,,,
Generation Interconnection,Linea Energy Development Co LLC ,Avista  WECC solar T5 - T 5: PLANT ASPEN MODEL,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"6,000",Bikram Bhandari,Joelle Abi Nahed,,1-Dec-24,,WECC,,solar,,,
Generation Interconnection,Linea Energy Development Co LLC ,Avista  WECC solar T6 - T 6: PROJECT INTERCONNECTION SUPPORT,Joelle Abi-Nahed,Joelle Abi-Nahed,Hourly,Mark as Cancelled,"5,000",,,,1-Dec-24,,WECC,,solar,,,
Generation Interconnection,Linea Energy Development Co LLC ,Avista WECC solar T1 - T1 INTERCONNECTION APPLICATION,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"17,000",Anthony Saab,Bikram Bhandari,,1-Dec-24,,WECC,,solar,,,
Generation Interconnection,Linea Energy Development Co LLC ,Avista WECC solar T2 - T2: DYNAMIC SIMULATION,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"13,000",Bikram Bhandari,Joelle Abi Nahed,,1-Dec-24,,WECC,,solar,,,
Generation Interconnection,Linea Energy Development Co LLC ,Avista WECC solar T3 - T3: PSCAD™ PLANT MODEL  DEVELOPMENT,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"15,000",Yang Zhou,SM,,1-Dec-24,,WECC,,solar,,,
Generation Interconnection,Linea Energy Development Co LLC ,Avista WECC solar T4 - T4: PSCAD™ DYNAMIC SIMULATION,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"18,000",Yang Zhou,SM,,1-Dec-24,,WECC,,solar,,,
Generation Interconnection,Linea Energy Development Co LLC ,BPA 1 T2 - T2 PROJECT INTERCONNECTION SUPPORT,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"5,000",,,,1-Dec-26,,WECC,,BESS,,,
Generation Interconnection,Linea Energy Development Co LLC ,BPA 2 T2 - T2 PROJECT INTERCONNECTION SUPPORT,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"5,000",,,,1-Dec-26,,WECC,,,,,
Generation Interconnection,Linea Energy Development Co LLC ,BPA Wind T2 - T2 PROJECT INTERCONNECTION SUPPORT,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"5,000",,,,1-Dec-26,,WECC,,,,,
Generation Interconnection,Longbow BESS LLC,Longbow BESS TASK 24: MQT PREFERRED TEST,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"12,000",Bikram Bhandari,Joelle Abi-Nahed,,5-May-25,,ERCOT,,BESS,,,
Generation Interconnection,"Longbow Solar, LLC ",Longbow BESS T5 - T5 INTERCONNECTION SUPPORT & MEETINGS,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Invoice time spent at end of month,"15,000",,,,1-Dec-26,,ERCOT,,BESS,,,
Generation Interconnection,"Longview Wind, LLC",Fivemile Wind TASK 1: ERCOT SS & FIS INTERCONNECTION APPLICATION,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"15,000",Ghida Hajj Hassan,Bikram Bhandari,2/25/2025,28-Feb-25,400187,ERCOT,,wind,,,
Generation Interconnection,"Longview Wind, LLC",Fivemile Wind TASK 2: ERCOT PSS/E MODEL QUALITY TEST AND VRT TUNING,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"11,000",Georgette Khanfour,Bikram Bhandari,11-May,16-May-25,400187,ERCOT,,wind,,,
Generation Interconnection,"Longview Wind, LLC",Fivemile Wind TASK 3: GENERAL INTERCONNECTION SUPPORT,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"5,000",Sonjoy Roy,,,1-Dec-26,400187,ERCOT,,wind,,scoping call was 6/3,
Generation Interconnection,"LOTUS INFRASTRUCTURE GLOBAL OPERATIONS,",Task 1: Arriba Wind Expansion TSGT,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"15,000",Behzad Jandaghi,,23-May,28-May-24,,WECC,TSGT,,,,
,LLC,Interconnection Application,,,,,,,,,,,,,,,,
Generation Interconnection,"LOTUS INFRASTRUCTURE GLOBAL OPERATIONS,",Task 2: Arriba Storage Expansion,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"8,000",Behzad Jandaghi,,23-May,28-May-24,,WECC,TSGT,,,,
,LLC,TSGT Interconnection Application,,,,,,,,,,,,,,,,
Generation Interconnection,"LOTUS INFRASTRUCTURE GLOBAL OPERATIONS,",Task 3: Project Interconnection,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"5,000",Behzad Jandaghi,,,1-Dec-26,,ERCOT,,,,,
,LLC,Support,,,,,,,,,,,,,,,,
Generation Interconnection,Lydian Energy,Faraday BESS Surplus - TASK 1: SURPLUS INTERCONNECTION APPLICATION PACKAGE,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"17,000",Shiva Amini,Behzad Jandaghi,1/7/2026,30-Jan-26,402510,WECC,PacifiCorp,,,,
,,,,,,,,,,,,,,,,,MMA - task 2?,
,,,,,,,,,,,,,,,,,pscad?aspen?,
Generation Interconnection,Lydian Energy,Faraday BESS Surplus - task 2: Interconnection Application Package: Short Circuit Modeling - Plant Aspen,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"8,000",Shiva Amini,Behzad Jandaghi,1/7/2026,30-Jan-26,402510,WECC,PacifiCorp,Solar+BESS,,,
Generation Interconnection,Lydian Energy,Faraday Solar MMA - task 1: Interconnection Application Package: Steady-State and Dynamics Modeling,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"27,000",Shiva Amini,Behzad Jandaghi,11/7/2025,30-Nov-25,403193,WECC,PacifiCorp,Solar+BESS,,PO? JJ: Emailed SF team to chase PO 11/19,
Generation Interconnection,Lydian Energy,Faraday Solar MMA -  task 2: Interconnection Application Package: Short Circuit Modeling - Plant Aspen,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"10,000",Shiva Amini,Behzad Jandaghi,11/21/2025,30-Nov-25,403193,WECC,PacifiCorp,Solar+BESS,,PO? JJ: Emailed SF team to chase PO 11/19,
Generation Interconnection,M-Bar Energy I LLC,M bar storage Task 5: ERCOT FIS Material & Models Update,Joelle Abi-Nahed,Sonjoy Roy,Fixed,Can be Invoiced and Closed,"8,000",Ghida Hajj Hassan,Sonjoy Roy,4/22/2026,30-Apr-26,203043,ERCOT,,bess,,,
Generation Interconnection,M-Bar Energy I LLC,M bar storage Task 6: ERCOT PSS/E Model Quality Test and Tuning,Joelle Abi-Nahed,Sonjoy Roy,Fixed,Can be Invoiced and Closed,"13,500",Yara Karam,Sonjoy Roy,7/12/2026,31-Jul-26,203043,ERCOT,,BESS,,solar REPC and UDM for storag e- separate PPCs,
,,(Update),,,,,,,,,,,,,,,,
Generation Interconnection,M-Bar Energy I LLC,M bar storage Task 7: COMBINED (PV + BESS) ERCOT PSS/E Model,Joelle Abi-Nahed,Sonjoy Roy,Fixed,Can be Invoiced and Closed,"13,500",Yara Karam,Sonjoy Roy,7/12/2026,31-Jul-26,203043,ERCOT,,BESS,,,
,,Quality Test and Tuning (Update),,,,,,,,,,,,,,,,
Generation Interconnection,M-Bar Energy LLC,M Bar 1 30 MW PV BESS ERCOT SS & FIS Application,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"18,000",Georgette Khanfour,Sonjoy Roy,23-Oct,28-Oct-24,,ERCOT,,PV,,FIS studies?,
,,,,,,,,,,,,,,,,,project sold at NTP?,
Generation Interconnection,M-Bar Energy LLC,M Bar 1 80 MW BESS ERCOT SS & FIS Application,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"18,000",Georgette Khanfour,Sonjoy Roy,23-Oct,28-Oct-24,,ERCOT,,BESS,,,
Generation Interconnection,M-Bar Energy LLC,M Bar 1 30 MW PV Support,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"10,000",Georgette Khanfour,Sonjoy Roy,,1-Dec-26,,ERCOT,,PV,,scoping meeting is on 1/29/2025. MQT?,
Generation Interconnection,M-Bar Energy LLC,M Bar 1 80 MW BESS Support,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"10,000",Georgette Khanfour,Sonjoy Roy,,1-Dec-26,,ERCOT,,BESS,,scoping meeting is on 1/29/2025. MQT?,
Generation Interconnection,M-Bar Energy LLC,M bar solar TASK 2: ERCOT PSS/E MODEL,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"11,000",Yara Karam,Sonjoy Roy,4/14/2025,29-Apr-25,203042,ERCOT,,Solar,,,
,,QUALITY TEST AND VRT TUNING,,,,,,,,,,,,,,,,
Generation Interconnection,M-Bar Energy LLC,M bar storage TASK 2: ERCOT PSS/E MODEL,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"11,000",Yara Karam,Sonjoy Roy,4/14/2025,29-Apr-25,203043,ERCOT,,BESS,,,
,,QUALITY TEST AND VRT TUNING,,,,,,,,,,,,,,,,
Generation Interconnection,M-Bar Energy LLC,M bar storage TASK 3: Combined ERCOT PSS/E,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"11,000",Yara Karam,Sonjoy Roy,4/14/2025,29-Apr-25,203043,ERCOT,,BESS,,,
,,MODEL QUALITY TEST AND VRT,,,,,,,,,,,,,,,,
,,TUNING,,,,,,,,,,,,,,,,
Generation Interconnection,Metra Properties,Terrel load T5 - Models & SLD Update,Joelle Abi-Nahed,Lea El Khoury,Fixed,Can be Invoiced - leave open,"12,000",Perla Boulos,Lea El Khoury,1/6/2026,6-Feb-26,401834,ERCOT,,load,,batch 0 allocated load,
